0.99539,-0.05889,0.85243,0.02306,0.83398,g
1,-0.18829,0.93035,-0.36156,-0.10868,b
1,-0.03365,1,0.00485,1,g
1,-0.45161,1,1,0.71216,b
1,-0.02401,0.9414,0.06531,0.92106,g
0.02337,-0.00592,-0.09924,-0.11949,-0.00763,b
0.97588,-0.10602,0.94601,-0.208,0.92806,g
0,0,0,0,1,b
0.96355,-0.07198,1,-0.14333,1,g
-0.01864,-0.08459,0,0,0,b
1,0.06655,1,-0.18388,1,g
1,-0.5421,1,-1,1,b
1,-0.16316,1,-0.10169,0.99999,g
1,-0.86701,1,0.2228,0.85492,b
1,0.0738,1,0.0342,1,g
0.50932,-0.93996,1,0.26708,-0.0352,b
0.99645,0.06468,1,-0.01236,0.97811,g
0,0,-1,-1,1,b
0.67065,0.02528,0.66626,0.05031,0.57197,g
1,-1,0,0,0,b
1,-0.00612,1,-0.09834,1,g
1,1,0,0,0,b
0.96071,0.07088,1,0.04296,1,g
-1,1,0,0,0,b
1,-0.06182,1,0.02942,1,g
1,0.5782,1,-1,1,b
1,-0.08714,1,-0.17263,0.86635,g
-1,-1,0,0,-1,b
1,0.0838,1,0.17387,1,g
-1,-1,1,1,1,b
1,-0.14236,1,-0.16256,1,g
1,-1,1,1,1,b
0.88208,-0.14639,0.93408,-0.11057,0.921,g
0.71253,-0.02595,0.41287,-0.23067,0.98019,b
1,-0.15899,0.72314,0.27686,0.83443,g
0.66161,-1,1,1,1,b
1,0.00433,1,-0.01209,1,g
1,1,1,-1,0,b
0.91241,0.04347,0.94191,0.0228,0.94705,g
1,0.02461,0.99672,0.04861,0.97545,b
1,0.06538,1,0.20746,1,g
-1,-1,1,1,1,b
0.90932,0.08791,0.86528,0.16888,1,g
-0.64286,-1,1,0.82857,1,b
0.99025,-0.05785,0.99793,-0.13009,0.98663,g
0,0,0,0,0,b
1,-0.0373,1,-0.07383,0.99601,g
0.94598,-0.02685,-1,0.26131,-0.36393,b
0.98166,0.00874,0.98103,-0.03818,0.97565,g
0,0,1,0.51724,0,b
0.84134,-0.18362,0.43644,0.02919,0.93421,g
1,1,1,-1,0,b
1,1,1,1,0.9101,g
-0.67935,-1,-1,1,1,b
0.95659,0.08143,0.97487,-0.05667,0.97165,g
0.08333,-0.20685,-1,1,-1,b
1,-0.02259,1,-0.04494,1,g
-1,1,1,-1,-1,b
1,0.05812,0.94525,0.07418,0.99952,g
0.17188,-1,-1,1,0,b
1,0.09771,1,0.12197,1,g
0.01667,-0.35625,0,0,0,b
1,0.16801,0.99352,0.16334,0.94616,g
0.63816,1,0.20833,-1,1,b
1,-0.41457,1,0.76131,0.8706,g
0.84783,0.10598,1,0.3913,1,b
1,0.28046,1,0.02477,1,g
1,-1,1,-1,1,b
1,0.67784,0.81309,0.82021,0.43019,g
1,1,1,-1,1,b
1,0.03529,1,0.18281,1,g
1,-1,1,1,-1,b
0.96087,0.0862,0.9676,0.19279,0.96026,g
0.69444,0.38889,0,0,-0.32937,b
1,0.0507,1,0.10827,1,g
1,1,0,0,1,b
1,0.04078,1,0.11982,1,g
1,1,1,-1,1,b
1,0.24168,1,0.4859,1,g
1,1,1,-1,1,b
1,-0.06604,1,0.62937,1,g
1,-1,1,1,1,b
0.92277,0.07804,0.92679,0.16251,0.89702,g
0.68198,-0.17314,0.82332,0.21908,0.46643,b
0.74852,-0.02811,0.6568,-0.05178,0.80621,g
0.39179,-0.06343,0.97464,0.04328,1,b
0.67547,0.04528,0.76981,-0.10566,0.77358,g
0.72727,-0.05,0.89241,0.03462,1,b
0.57647,-0.01569,0.40392,0,0.38431,g
0.41932,0.12482,0.35,0.125,0.23182,b
0.88305,-0.21996,1,0.36373,0.82403,g
0.84557,-0.0858,-0.31745,-0.80553,-0.08961,b
0.7087,-0.24783,0.64348,0.04348,0.45217,g
-0.5418,0.14861,-0.33746,0.73375,0.52012,b
0.29202,0.13582,0.45331,0.16808,0.51783,g
0.79157,0.16851,0,0,0.56541,b
0.90116,0.16607,0.79299,0.37379,0.7299,g
0.97714,0.19049,0.82683,0.46259,0.71771,g
-1,-1,0,0,0.50814,b
0.74084,0.04974,0.79074,0.02543,0.78575,g
1,-1,0,0,0.77941,b
1,0.01709,0.96215,-0.03142,1,g
0,0,0,0,0,b
0.95704,-0.12095,0.63318,-0.1269,0.96365,g
0.28409,-0.31818,0,0,0.68182,b
0.9449,-0.49311,1,-0.03692,0.98898,g
0,0,0,0,0,b
0.99449,0.00526,0.84082,-0.11313,0.88237,g
0.10135,0.10811,0,0,0,b
1,-0.57224,0.9915,-0.73371,0.89518,g
0.65909,-0.62879,0,0,0,b
0.86284,0.1931,0.8092,0.41149,0.67203,g
0.42,-0.61,0,0,1,b
1,0.23395,0.91404,0.52013,0.7802,g
0.91353,0.81586,-0.72973,1,-0.39466,b
